project,sample,site,revisit,revisitid,g_hair,u_hair,type,barb,hair_colour,site_id,site_number,site_type,season,revisit_date,revisit_crew,site_name.x,utme,utmn,utm_zone,individual,sex,species,year,Treatment
nt,43323,at17,3,2019at1703,lots,lots,both,a20,br,2019at17,at17,passive,summer,08/15/2019,"kf, as",bc wrights,299622,5810216,10,43323,male,grizzly,2019,Landbased
nt,43326,at02,0,2019at0200,10-Apr,,g,a15,br,2019at02,at02,passive,summer,07/22/2019,"as, kf, dk, rp",stillwater falls,310913,5804151,10,32361,female,grizzly,2019,Reference
nt,43327,at07,1,2019at0701,,10-Apr,u,13',br,2019at07,at07,passive,summer,08/03/2019,"kf, km, qh",talus slide,308326,5808239,10,43327,male,black,2019,Reference
nt,43329,at11,1,2019at1101,>10,,g,a4,br,2019at11,at11,passive,summer,08/03/2019,"kf, qh, km",frog water,305595,5809726,10,26814,female,black,2019,Landbased
nt,43332,at11,1,2019at1101,>10,lots,both,a10,br,2019at11,at11,passive,summer,08/03/2019,"kf, qh, km",frog water,305595,5809726,10,43332,female,grizzly,2019,Landbased
nt,43334,at06,2,2019at0602,10-Apr,>10,both,a13,br,2019at06,at06,passive,summer,08/04/2019,"kf, seas",sheep creek,309246,5807378,10,43089,male,grizzly,2019,Reference
nt,43335,at06,2,2019at0602,>10,>10,both,a8,br,2019at06,at06,passive,summer,08/04/2019,"kf, seas",sheep creek,309246,5807378,10,43089,male,grizzly,2019,Reference
nt,43336,at25,2,2019at2502,>10,,g,b9,br,2019at25,at25,passive,summer,08/09/2019,"kf, km, as",little tweedsmuir,699677,5805811,9,32361,female,grizzly,2019,Platform_Drift
nt,43337,at20,3,2019at2003,10-Apr,10-Apr,both,a11,mixed,2019at20,at20,passive,summer,08/12/2019,"kf, as",fish bone,297417,5807661,10,43323,male,grizzly,2019,Landbased
nt,43341,at14,5,2019at1405,10-Apr,,g,b22,mixed,2019at14,at14,passive,summer,08/28/2019,"as, km",atnarko campground beach,302041,5809940,10,43341,male,grizzly,2019,Landbased
nt,43347,at21,3,2019at2103,10-Apr,10-Apr,both,c27,br,2019at21,at21,passive,summer,08/12/2019,"kf, as",cub cry,296573,5806559,10,49830,female,grizzly,2019,Landbased
nt,43348,at14,3,2019at1403,10-Apr,,g,a34,br,2019at14,at14,passive,summer,08/13/2019,"kf, as",atnarko campground beach,302041,5809940,10,43348,female,grizzly,2019,Landbased
nt,43352,at22,1,2019at2201,10-Apr,,g,b16,br,2019at22,at22,passive,summer,07/30/2019,"kf, rb, as",trolley northside,703795,5805229,9,32361,female,grizzly,2019,Landbased
nt,43360,at11,4,2019at1104,10-Apr,10-Apr,both,6,bl,2019at11,at11,passive,summer,08/24/2019,"ch,kf,km",frog water,305595,5809726,10,43360,male,grizzly,2019,Landbased
nt,43361,at19,2,2019at1902,10-Apr,10-Apr,both,14,br,2019at19,at19,passive,summer,08/02/2019,"qh, kf, dk, rp",eagle slough,297868,5808926,10,43361,female,black,2019,Landbased
nt,43366,at22,3,2019at2203,>10,10-Apr,both,a20,bl,2019at22,at22,passive,summer,08/12/2019,"kf, as",trolley northside,703795,5805229,9,40087,female,black,2019,Landbased
nt,43391,at05,0,2019at0500,10-Apr,10-Apr,both,a4,br,2019at05,at05,passive,summer,07/22/2019,"as, kf, dk, rp",line cabin,309302,5806163,10,32361,female,grizzly,2019,Reference
nt,43396,at25,4,2019at2505,10-Apr,10-Apr,both,a8,mixed,2019at25,at25,passive,summer,08/22/2019,"as, km, bc",little tweedsmuir,699677,5805811,9,17079,female,grizzly,2019,Platform_Drift
