"","X","year","date","yearweek_ID","site_num","site_name","session_start_time","session_end_time","timestamp_focal.bhv.change","start_time_of_focal","length","file_id","focalbear_event","bear_name","sex","age","agesex","family","yrl_num","coy_num","num_offspring","coarse_code","fine_code","snorkel","carry_to_cover","video_time_behave_change","duration_of_behave","duration_in_seconds","start_time_within_the_minute","total_length_within_focalevent","sexing_comments"
"57",57,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:16:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,30,31,"","","0:05:59","0:00:08",8,NA,667,NA
"58",58,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:16:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,30,32,"","","0:06:25","0:00:26",26,NA,667,NA
"59",59,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:17:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,10,11,"","","0:06:30","0:00:05",5,NA,667,NA
"60",60,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:17:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,30,32,"","","0:06:56","0:00:26",26,NA,667,NA
"61",61,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:17:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,10,11,"","","0:08:06","0:01:10",70,NA,667,NA
"62",62,2019,"2019-08-26",201935,"B01","FISHERIES POOL","13:00","16:00","2019-08-26 13:19:00","13:11","0:11:07","B0104-F01","2019_B0104_FCL1","MosherMamma","FWY","ADULT","Female with young","Y",1,0,1,0,0,"","","0:11:07","0:03:01",181,NA,667,NA
"63",63,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:36:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,90,90,"","","0:00:04","0:00:04",4,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"64",64,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:36:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,10,11,"","","0:00:13","0:00:09",9,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"65",65,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:36:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,0,0,"","","0:00:26","0:00:13",13,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"66",66,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:36:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,10,11,"","","0:00:33","0:00:07",7,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
